Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,FAQ (product.metafields.app--4284493.faq),Is Subscription Bundle (product.metafields.custom.is_subscription_bundle),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Second Description (product.metafields.my_fields.second_description),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
doll-dress-galactic-princess,Doll Dress Galactic Princess,"<p><meta charset=""utf-8"">This Galactic Princess Doll Dress transforms every favorite doll into a fearless leader, ready for adventures across the galaxy.<br><meta charset=""utf-8""></p>
<ul>
<li>Designed to match our child dress for hours of imaginative play</li>
<li>Made from clothing quality stretchy fabrics (machine washable!)</li>
<li>Fastens with hook and loop closure</li>
<li>Doll not included</li>
<li>Made to fit 16""-20"" dolls and plush animals</li>
</ul>","Little Adventures, LLC","Toys & Games > Toys > Dolls, Playsets & Toy Figures > Doll & Action Figure Accessories",Doll Dresses & Accessories,"anakin, chewbacca, chewie, darth, darth vader, darth vador, doll, doll dress, doll-dress-up-collection, doll-plush-collection, han, han solo, leah, leia, new, R2, R2 D2, R2D2, star, Star Wars, starwars, wars",true,Title,Default Title,,,,,,,,'41377,58.9670081,shopify,9999,deny,manual,19.99,19.99,true,true,,,,,"""847942048697  """,https://cdn.shopify.com/s/files/1/1944/4861/files/41377_DollDress_GalacticPrincess.jpg?v=1782224943,1,Doll in a white outfit with a silver belt on a white background,false,,,,,,,,,,,,,,,,,,,,lb,,4.39,true,,,true,,,active
doll-dress-galactic-princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41377_DollDress_GalacticTwirl_Bodice.jpg?v=1782224943,2,Doll wearing a white outfit with a silver belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41377_DollDress_GalacticTwirl_Back.jpg?v=1782224943,3,Back view of a doll in a white dress with a hood on a white background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41377_Doll-Dress_Galactic_Princess_Twirl_IMG_1.jpg?v=1782224943,4,Child and doll wearing matching white dresses on a wooden floor with a white background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41377_Doll-Dress_Galactic_Princess_Twirl_IMG_2.jpg?v=1782224943,5,Person in a white dress with a silver belt dancing in a room with wooden flooring.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41377_Doll-Dress_Galactic_Princess_Twirl_IMG_3.jpg?v=1782224943,6,Young girl holding a doll wearing a white dress in a room with wooden flooring.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-gold-robot-twirl,Doll Dress Galactic Gold Robot Twirl,"<p>Dress up your child's favorite doll in this Galactic Gold Robot Doll Dress and let the space adventures begin.<br><meta charset=""utf-8""></p>
<ul>
<li>Designed to match our child dress for hours of imaginative play</li>
<li>Made from clothing quality stretchy fabrics (machine washable!)</li>
<li>Fastens with hook and loop closure</li>
<li>Doll not included</li>
<li>Made to fit 16""-20"" dolls and plush animals</li>
</ul>","Little Adventures, LLC","Toys & Games > Toys > Dolls, Playsets & Toy Figures > Doll & Action Figure Accessories",Doll Dresses & Accessories,"anakin, chewbacca, chewie, darth, darth vader, darth vador, doll, doll dress, doll-dress-up-collection, doll-plush-collection, han, han solo, leah, new, R2, R2 D2, R2D2, star, Star Wars, starwars, wars",true,Title,Default Title,,,,,,,,'41387,58.9670081,shopify,9999,deny,manual,19.99,19.99,true,true,,,,,'847942048710,https://cdn.shopify.com/s/files/1/1944/4861/files/41387_DollDress_GalacticGoldTwirl.jpg?v=1782224942,1,Doll wearing a gold dress with a black belt with colorful wire decorating it on a white background,false,,,,,,,,,,,,,,,,,,,,lb,,3.76,true,,,true,,,active
doll-dress-galactic-gold-robot-twirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41387_DollDress_GalacticGoldTwirl_Bodice.jpg?v=1782224942,2,Close-up of a doll wearing a gold top with a black belt with colorful wires in it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-gold-robot-twirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41387_DollDress_GalacticGoldTwirl_Back.jpg?v=1782224942,3,Back view of a doll with blonde hair and a gold dress on a white background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-gold-robot-twirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41387_Doll_Dress_Gold_Galactic_Robot_Twirl_IMG_2.jpg?v=1782224942,4,"Child in a gold dress holding a doll, wearing a matching dress, twirling on a wooden floor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-gold-robot-twirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41387_Doll_Dress_Gold_Galactic_Robot_Twirl_IMG_1.jpg?v=1782224942,5,"Child in a gold dress holding a doll, wearing a matching dress, standing on a wooden floor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-gold-robot-twirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41387_Doll_Dress_Gold_Galactic_Robot_Twirl_IMG_3.jpg?v=1782224944,6,"Child in a gold dress holding a doll, wearing a matching dress, walking on a wooden floor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-silver-robot-twirl,Doll Dress Galactic Silver Robot Twirl,"<p>This Galactic Silver Robot Doll Dress transforms every doll into the perfect space sidekick, ready for missions across the galaxy.<br><meta charset=""utf-8""></p>
<ul>
<li>Designed to match our child dress for hours of imaginative play</li>
<li>Made from clothing quality stretchy fabrics (machine washable!)</li>
<li>Fastens with hook and loop closure</li>
<li>Doll not included</li>
<li>Made to fit 16""-20"" dolls and plush animals</li>
</ul>","Little Adventures, LLC","Toys & Games > Toys > Dolls, Playsets & Toy Figures > Doll & Action Figure Accessories",Doll Dresses & Accessories,"anakin, chewbacca, chewie, darth, darth vader, darth vador, doll, doll dress, doll-dress-up-collection, doll-plush-collection, han, han solo, leah, new, R2, R2 D2, R2D2, star, Star Wars, starwars, wars",true,Title,Default Title,,,,,,,,'41383,58.9670081,shopify,9999,deny,manual,19.99,19.99,true,true,,,,,'847942048703,https://cdn.shopify.com/s/files/1/1944/4861/files/41383_DollDress_GalacticSilverTwirl.jpg?v=1782224941,1,"Doll wearing a white dress with blue and gray accents, with control panel button design, on a white background.",false,,,,,,,,,,,,,,,,,,,,lb,,4.07,true,,,true,,,active
doll-dress-galactic-silver-robot-twirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41383_DollDress_GalacticSilverTwirl_Bodice.jpg?v=1782224941,2,Up-close image of white dress with blue and gray control panel button design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-silver-robot-twirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41383_DollDress_GalacticSilverTwirl_Back.jpg?v=1782224941,3,Back view of a doll with long brown hair wearing a white dress on a white background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-silver-robot-twirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41383_Doll_Dress_Silver_Galactic_Robot_Twirl_IMG_1.jpg?v=1782224941,4,Child wearing a dress with a doll wearing matching blue and white robot dresses standing on a wooden floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-silver-robot-twirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41383_Doll_Dress_Silver_Galactic_Robot_Twirl_IMG_2.jpg?v=1782224941,5,Young girl dancing in a white dress with blue accents holding a doll in a matching dress on a wooden floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doll-dress-galactic-silver-robot-twirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/41383_Doll_Dress_Silver_Galactic_Robot_Twirl_IMG_3.jpg?v=1782224941,6,Young girl holding a doll wearing a white dress with blue accents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby-sleeping-beauty-dress,Baby Sleeping Beauty Dress,"<p>This Baby Sleeping Beauty Princess Dress will transform your little one into a storybook princess, ready for magical dreams and enchanting adventures.<br></p>
<ul>
<li>Buttery Soft Feel - Made from a dreamy-soft rayon blend that moves with your child for all-day comfort</li>
<li>Soft mesh skirt is full and floaty—without restricting play or movement</li>
<li>Sturdy snaps stand up to playtime, dress-up, and endless wash cycles.</li>
<li>Overlap shoulders make getting dressed quick and fuss-free - easy on, easy off</li>
<li>Crafted from 95% rayon and 5% spandex for breathable stretch and a cozy feel</li>
</ul>","Little Adventures, LLC",Apparel & Accessories > Clothing > Dresses,Baby Dress,"aurora, baby-collection, briar rose, new, princess-dress-collection, princess-dress-up-collection",true,Size,0-3 Months,,,,,,,,'30071,149.6854821,shopify,20,deny,manual,39.99,39.99,true,true,,,,,'847942049236,https://cdn.shopify.com/s/files/1/1944/4861/files/30072_BabySleepingBeauty.jpg?v=1782224939,1,Baby wearing a pink dress with a white peplum and light pink inset on a white background,false,,"Our Cinderella dress features a stretchy blue velvet bodice that is elegantly detailed with a gathered white inlay, sparkling silver trim and a beaded flower. ",,,,,,,,,,,,,,,,,,lb,,7.26,true,,,true,,,active
baby-sleeping-beauty-dress,,,,,,,,,3-6 Months,,,,,,,,'30072,154.2214058,shopify,25,deny,manual,39.99,39.99,true,true,,,,,'847942049243,https://cdn.shopify.com/s/files/1/1944/4861/files/30072_BabySleepingBeauty_Bocide.jpg?v=1782224940,2,Close-up of a baby wearing a pink dress with light pink inset and floral details.,,,,,,,,,,,,,,,,,,,,,lb,,7.48,,,,,,,
baby-sleeping-beauty-dress,,,,,,,,,6-9 Months,,,,,,,,'30073,167.8291769,shopify,20,deny,manual,39.99,39.99,true,true,,,,,'847942049250,https://cdn.shopify.com/s/files/1/1944/4861/files/30072_BabySleepingBeauty_Skirt.jpg?v=1782224940,3,Close-up of a baby wearing a pink tutu skirt on a white background,,,,,,,,,,,,,,,,,,,,,lb,,7.56,,,,,,,
baby-sleeping-beauty-dress,,,,,,,,,9-12 Months,,,,,,,,'30074,172.3651006,shopify,20,deny,manual,39.99,39.99,true,true,,,,,'847942049267,https://cdn.shopify.com/s/files/1/1944/4861/files/30072_BabySleepingBeauty_Back.jpg?v=1782224939,4,"Back view of a baby wearing a bright pink dress with a white tutu, pointing to the side on a white background",,,,,,,,,,,,,,,,,,,,,lb,,7.61,,,,,,,
baby-sleeping-beauty-dress,,,,,,,,,12-18 Months,,,,,,,,'30075,176.9010243,shopify,40,deny,manual,39.99,39.99,true,true,,,,,'847942049274,https://cdn.shopify.com/s/files/1/1944/4861/files/30072_Baby_Sleeping_Beauty_Dress_IMG_1.jpg?v=1782224939,5,Toddler in a pink dress dancing on a wooden floor,,,,,,,,,,,,,,,,,,,,,lb,,7.81,,,,,,,
baby-sleeping-beauty-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/30072_Baby_Sleeping_Beauty_Dress_IMG_2.jpg?v=1782224939,6,Baby wearing a pink dress with a white peplum in a playroom setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby-sleeping-beauty-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/30072_Baby_Sleeping_Beauty_Dress_IMG_3.jpg?v=1782224940,7,Two toddlers standing on a wooden floor with toys one in a bright pink tutu dress and one in a blue and purple dress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby-sleeping-beauty-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/30072_Baby_Sleeping_Beauty_Dress_IMG_4.jpg?v=1782224940,8,Child in a pink outfit playing on a colorful wooden toy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby-mermaid-dress,Baby Mermaid Dress,"<p>This Baby Mermaid Princess Dress will transform your little one into an undersea princess, ready to dive into oceans of imagination.<br></p>
<ul>
<li>Buttery Soft Feel - Made from a dreamy-soft rayon blend that moves with your child for all-day comfort</li>
<li>Soft mesh skirt is full and floaty—without restricting play or movement</li>
<li>Sturdy snaps stand up to playtime, dress-up, and endless wash cycles.</li>
<li>Overlap shoulders make getting dressed quick and fuss-free - easy on, easy off</li>
<li>Crafted from 95% rayon and 5% spandex for breathable stretch and a cozy feel</li>
</ul>","Little Adventures, LLC",Apparel & Accessories > Clothing > Dresses,Baby Dress,"arial, arial princess, ariel, baby-collection, frozen, little mermaid, mermaid, new, princess-dress-collection, princess-dress-up-collection",true,Size,0-3 Months,,,,,,,,'30061,149.6854821,shopify,18,deny,manual,39.99,39.99,true,true,,,,,'847942049182,https://cdn.shopify.com/s/files/1/1944/4861/files/30062_BabyMermaid.jpg?v=1782224939,1,Toddler wearing a light blue and purple mermaid dress with a white background,false,,"Our Cinderella dress features a stretchy blue velvet bodice that is elegantly detailed with a gathered white inlay, sparkling silver trim and a beaded flower. ",,,,,,,,,,,,,,,,,,lb,,7.13,true,,,true,,,active
baby-mermaid-dress,,,,,,,,,3-6 Months,,,,,,,,'30062,154.2214058,shopify,25,deny,manual,39.99,39.99,true,true,,,,,'847942049199,https://cdn.shopify.com/s/files/1/1944/4861/files/30062_BabyMermaid_Bodice.jpg?v=1782224939,2,Child wearing a light blue and purple dress with a shell design on a white background,,,,,,,,,,,,,,,,,,,,,lb,,7.46,,,,,,,
baby-mermaid-dress,,,,,,,,,6-9 Months,,,,,,,,'30063,167.8291769,shopify,20,deny,manual,39.99,39.99,true,true,,,,,'847942049205,https://cdn.shopify.com/s/files/1/1944/4861/files/30062_BabyMermaid_Skirt.jpg?v=1782224939,3,Child wearing a light purple top and a blue and white tutu skirt with mermaid scale pattern.,,,,,,,,,,,,,,,,,,,,,lb,,7.60,,,,,,,
baby-mermaid-dress,,,,,,,,,9-12 Months,,,,,,,,'30064,172.3651006,shopify,19,deny,manual,39.99,39.99,true,true,,,,,'847942049212,https://cdn.shopify.com/s/files/1/1944/4861/files/30062_BabyMermaid_Sleeve.jpg?v=1782224938,4,Pastel gradient dress with organza sleeves on a white background,,,,,,,,,,,,,,,,,,,,,lb,,7.64,,,,,,,
baby-mermaid-dress,,,,,,,,,12-18 Months,,,,,,,,'30065,176.9010243,shopify,40,deny,manual,39.99,39.99,true,true,,,,,'847942049229,https://cdn.shopify.com/s/files/1/1944/4861/files/30062_BabyMermaid_Back.jpg?v=1782224938,5,Back view of a toddler wearing a light blue outfit with a skirt on a white background,,,,,,,,,,,,,,,,,,,,,lb,,7.82,,,,,,,
baby-mermaid-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/30062_Baby_Mermaid_Dress_IMG_1.jpg?v=1782224938,6,Baby in a ombre purple and blue mermaid dress standing on a wooden floor with toys in the background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby-mermaid-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/30062_Baby_Mermaid_Dress_IMG_2.jpg?v=1782224938,7,Child in a mermaid print dress playing with a wooden climbing toy indoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby-mermaid-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/30062_Baby_Mermaid_Dress_IMG_3.jpg?v=1782224938,8,Two toddlers standing on a wooden floor with toys one in a bright pink tutu dress and one in a blue and purple dress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby-mermaid-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/30062_Baby_Mermaid_Dress_IMG_4.jpg?v=1782224938,9,Toddler in a purple and blue dress sitting on the bottom of a wooden slide in a room with colorful toys.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby-alpine-dress,Baby Alpine Dress,"<p>This Baby Alpine Princess Dress will transform your little one into a cheerful princess, ready for storybook adventures and royal fun.</p>
<ul>
<li>Buttery Soft Feel - Made from a dreamy-soft rayon blend that moves with your child for all-day comfort</li>
<li>Soft mesh skirt is full and floaty—without restricting play or movement</li>
<li>Sturdy snaps stand up to playtime, dress-up, and endless wash cycles.</li>
<li>Overlap shoulders make getting dressed quick and fuss-free - easy on, easy off</li>
<li>Crafted from 95% rayon and 5% spandex for breathable stretch and a cozy feel</li>
</ul>","Little Adventures, LLC",Apparel & Accessories > Clothing > Dresses,Baby Dress,"anna, anna frozen, baby-collection, elsa, elsa frozen, frozen, frozen anna, frozen elsa, new, princess-dress-collection, princess-dress-up-collection, queen anna, queen elsa",true,Size,0-3 Months,,,,,,,,'30051,149.6854821,shopify,22,deny,manual,39.99,39.99,true,true,,,,,'847942049137,https://cdn.shopify.com/s/files/1/1944/4861/files/30052_BabyAlpine.jpg?v=1782224937,1,Baby wearing a blue outfit with a black bodice featuring a colorful floral design on a white background,false,,"Our Cinderella dress features a stretchy blue velvet bodice that is elegantly detailed with a gathered white inlay, sparkling silver trim and a beaded flower. ",,,,,,,,,,,,,,,,,,lb,,7.19,true,,,true,,,active
baby-alpine-dress,,,,,,,,,3-6 Months,,,,,,,,'30052,154.2214058,shopify,25,deny,manual,39.99,39.99,true,true,,,,,'847942049144,https://cdn.shopify.com/s/files/1/1944/4861/files/30052_BabyAlpine_Bodice.jpg?v=1782224937,2,Child wearing a blue dress with a black bodice featuring colorful floral design.,,,,,,,,,,,,,,,,,,,,,lb,,7.44,,,,,,,
baby-alpine-dress,,,,,,,,,6-9 Months,,,,,,,,'30053,167.8291769,shopify,21,deny,manual,39.99,39.99,true,true,,,,,'847942049151,https://cdn.shopify.com/s/files/1/1944/4861/files/30052_BabyAlpine_Skirt.jpg?v=1782224937,3,Blue tutu skirt worn by a baby on a white background,,,,,,,,,,,,,,,,,,,,,lb,,7.54,,,,,,,
baby-alpine-dress,,,,,,,,,9-12 Months,,,,,,,,'30054,172.3651006,shopify,21,deny,manual,39.99,39.99,true,true,,,,,'847942049168,https://cdn.shopify.com/s/files/1/1944/4861/files/30052_BabyAlpine_Back.jpg?v=1782224937,4,Back view of a baby wearing a blue and black outfit with a tutu on a white background,,,,,,,,,,,,,,,,,,,,,lb,,7.63,,,,,,,
baby-alpine-dress,,,,,,,,,12-18 Months,,,,,,,,'30055,176.9010243,shopify,39,deny,manual,39.99,39.99,true,true,,,,,'847942049175,https://cdn.shopify.com/s/files/1/1944/4861/files/30052_Baby_Alpine_Princess_IMG_1.jpg?v=1782224937,5,Baby in a black and blue outfit with a tutu standing on a wooden floor.,,,,,,,,,,,,,,,,,,,,,lb,,7.78,,,,,,,
baby-alpine-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/30052_Baby_Alpine_Princess_IMG_2.jpg?v=1782224937,6,Two children in princess baby dresses playing on a wooden toy indoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby-alpine-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/30052_Baby_Alpine_Princess_IMG_3.jpg?v=1782224937,7,Child in a blue princess dress climbing on a wooden play structure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby-alpine-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/30052_Baby_Alpine_Princess_IMG_4.jpg?v=1782224937,8,Two young children in blue princess dresses standing on a wooden floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
